timesteps,curriculum_stage,mean_reward,std_reward,mean_episode_length,std_episode_length,success_rate,collision_rate,safety_violation_rate,timeout_rate,mean_path_length,mean_final_goal_dist,mean_min_collision_clearance,mean_min_safety_clearance,success_mean_reward,success_mean_episode_length
2095000,4,632.6372216701508,44.880957429812746,334.9,21.736835096213984,1.0,0.0,0.0,0.0,28.713685133434048,0.7096359193325043,0.67989501953125,0.4298949956893921,632.6372216701508,334.9
2100000,4,608.7747489795089,17.75290138132811,308.4,25.25549445170298,1.0,0.0,0.0,0.0,28.431490030767964,0.6600376963615417,0.6587509274482727,0.4087509036064148,608.7747489795089,308.4
2105000,4,621.71957500875,24.630292763590344,323.8,26.554848898082625,1.0,0.0,0.0,0.0,28.670728192231763,0.6657786786556243,0.6416276812553405,0.3916276454925537,621.71957500875,323.8
2110000,4,649.0104841477005,31.23999935069151,344.0,17.175564037317667,1.0,0.0,0.0,0.0,29.194069880104507,0.6821973860263825,0.5775205612182617,0.32752050161361695,649.0104841477005,344.0
2115000,4,666.593183080852,40.8564506840247,325.3,18.248561587149823,1.0,0.0,0.0,0.0,28.626941155760143,0.6850876867771148,0.6959436774253845,0.4459436655044556,666.593183080852,325.3
2120000,4,650.680469852686,35.02520997793459,323.8,23.20689552697646,1.0,0.0,0.0,0.0,28.206204501331378,0.687003493309021,0.6033846974372864,0.35338467359542847,650.680469852686,323.8
2125000,4,665.6938544005155,33.90812777402342,329.1,23.91840295671933,1.0,0.0,0.0,0.0,28.33261376983137,0.6693199574947357,0.6290302515029907,0.37903021574020385,665.6938544005155,329.1
2130000,4,604.3823550701142,81.82585856815732,309.4,29.121126351842914,1.0,0.0,0.0,0.0,28.421351490644156,0.6604271650314331,0.5630082249641418,0.313008189201355,604.3823550701142,309.4
2135000,4,602.8821442108601,27.766994175310085,321.3,23.465080438813757,1.0,0.0,0.0,0.0,28.981614496758404,0.6714942336082459,0.6354654908180237,0.3854654550552368,602.8821442108601,321.3
2140000,4,608.5095757802017,23.20371193979712,323.8,23.83610706470333,1.0,0.0,0.0,0.0,28.74878094597152,0.6688826024532318,0.5897407770156861,0.33974074125289916,608.5095757802017,323.8
2145000,4,635.6088021154981,49.3040335877625,326.5,18.348024416813924,1.0,0.0,0.0,0.0,28.9062386857564,0.7046758592128753,0.6112837314605712,0.36128371953964233,635.6088021154981,326.5
2150000,4,631.5503885318242,39.78022883534516,330.1,23.368568633957878,1.0,0.0,0.0,0.0,28.877172383067954,0.6829603433609008,0.567056941986084,0.3170569181442261,631.5503885318242,330.1
2155000,4,595.0836757279933,83.80969079171811,303.0,25.167439281738616,1.0,0.0,0.0,0.0,28.29669155924057,0.6516013503074646,0.5715094685554505,0.32150945663452146,595.0836757279933,303.0
2160000,4,666.9381099931895,13.51383047871384,326.7,23.786761023729145,1.0,0.0,0.0,0.0,28.523239990156434,0.6693204581737519,0.6309507131576538,0.38095067739486693,666.9381099931895,326.7
2165000,4,647.6470562284812,34.722237071453584,330.6,24.984795376388416,1.0,0.0,0.0,0.0,28.59850902697035,0.6939875245094299,0.5902573347091675,0.3402572989463806,647.6470562284812,330.6
2170000,4,630.4361959538888,44.38106271176455,328.3,16.811008298136077,1.0,0.0,0.0,0.0,28.641097436972267,0.6754075348377228,0.6136942386627198,0.3636942386627197,630.4361959538888,328.3
2175000,4,641.7474542945623,32.787918216919785,315.5,16.126065856246527,1.0,0.0,0.0,0.0,28.309891421075736,0.6602408707141876,0.6429743051528931,0.39297430515289306,641.7474542945623,315.5
2180000,4,672.8497280489653,8.282362919383928,319.8,16.803571049035977,1.0,0.0,0.0,0.0,28.024426859495726,0.6917904138565063,0.6531295299530029,0.403129518032074,672.8497280489653,319.8
2185000,4,634.9407349728979,45.70393964377646,327.5,16.063934760823702,1.0,0.0,0.0,0.0,28.171632247336674,0.7141947984695435,0.6883798003196716,0.4383798003196716,634.9407349728979,327.5
2190000,4,636.2891084996984,65.01017181244033,314.2,29.2362788329842,1.0,0.0,0.0,0.0,28.35492848642607,0.6812679767608643,0.5699047327041626,0.31990469694137574,636.2891084996984,314.2
2195000,4,621.6555080435471,36.57647645572317,315.0,25.830214865540704,1.0,0.0,0.0,0.0,28.28753543538187,0.6720804870128632,0.5379949092864991,0.28799489736557005,621.6555080435471,315.0
2200000,4,663.8965710997581,34.20413550553282,332.4,20.655265672462313,1.0,0.0,0.0,0.0,28.561235387178023,0.678463590145111,0.7251768231391906,0.4751767873764038,663.8965710997581,332.4
2205000,4,652.3681301929057,36.901594510180125,334.1,23.492339176846567,1.0,0.0,0.0,0.0,28.693042045253243,0.6844867825508117,0.6318921327590943,0.3818920850753784,652.3681301929057,334.1
2210000,4,618.6503274769523,58.43134789921717,333.3,21.87715703650728,1.0,0.0,0.0,0.0,28.63712135993119,0.6903185784816742,0.5403301358222962,0.29033011198043823,618.6503274769523,333.3
2215000,4,638.8896153267008,77.62716936114643,320.4,30.342050029620612,1.0,0.0,0.0,0.0,28.4568313216354,0.6535310447216034,0.5636463284492492,0.3136462926864624,638.8896153267008,320.4
