timesteps,curriculum_stage,mean_reward,std_reward,mean_episode_length,std_episode_length,success_rate,collision_rate,safety_violation_rate,timeout_rate,mean_path_length,mean_final_goal_dist,mean_min_collision_clearance,mean_min_safety_clearance,success_mean_reward,success_mean_episode_length
550000,4,119.65883567277342,55.87093288842798,87.875,24.705452333442512,0.125,0.875,1.0,0.0,20.11462341155857,6.262915834784508,-0.038746029138565063,-0.28874605894088745,267.1771622300148,153.0
575000,4,127.51847160758916,51.93941489322345,95.125,23.603164512412313,0.125,0.875,1.0,0.0,23.73626034334302,5.634728506207466,-0.01266026496887207,-0.26266029477119446,262.31627792399377,153.0
600000,4,120.01019825972617,52.12796483627657,89.5,24.171263930543642,0.125,0.875,1.0,0.0,23.1866375526879,6.121460907161236,-0.02112536132335663,-0.2711254060268402,257.63949379324913,153.0
625000,4,124.37834327132441,54.86174216847117,91.75,24.118198523106987,0.125,0.875,1.0,0.0,23.93238946283236,5.926817961037159,-0.019933566451072693,-0.2699335664510727,266.257970392704,153.0
650000,4,98.83315254375339,4.068778354558366,78.875,2.666341125962693,0.0,1.0,1.0,0.0,23.23190027452074,7.041214108467102,-0.03058581054210663,-0.2805858552455902,nan,nan
675000,4,142.3768617005553,69.63245561858618,99.125,31.15861638455726,0.25,0.75,1.0,0.0,23.518446638074238,5.2889499589800835,-0.010470148175954819,-0.2604701481759548,262.7174639152363,153.0
700000,4,162.80063725751825,78.48097526653198,107.875,35.00156246512432,0.375,0.625,1.0,0.0,22.632839730475098,4.531471222639084,-0.0061076730489730835,-0.2561076730489731,264.02216245420277,153.0
725000,4,96.94934626110626,1.8823497458518896,78.25,0.82915619758885,0.0,1.0,1.0,0.0,18.464298393577337,7.095335364341736,-0.05361294746398926,-0.30361300706863403,nan,nan
750000,4,143.44449342088774,72.01335337173509,98.375,31.594847285593897,0.25,0.75,1.0,0.0,24.247849526349455,5.353407606482506,-0.003834165632724762,-0.25383418053388596,267.91159914806485,153.0
775000,4,121.71006123255938,54.95724620394552,88.75,24.350308006265546,0.125,0.875,1.0,0.0,17.394426696933806,6.186622805893421,-0.010285869240760803,-0.260285884141922,266.85491517186165,153.0
800000,4,142.23614892805927,69.79331221208132,98.75,31.407602582814246,0.25,0.75,1.0,0.0,23.10598192701582,5.321557633578777,-0.017345495522022247,-0.26734552532434464,262.87403038330376,153.0
825000,4,123.54379314399557,51.69366043082864,91.5,24.269322199023193,0.125,0.875,1.0,0.0,21.13138809474185,5.948349565267563,-0.02403644472360611,-0.2740364596247673,257.95833276212215,153.0
850000,4,108.70957996416837,11.609258102219846,86.125,8.328227602557462,0.0,1.0,1.0,0.0,23.924212351092137,6.414975464344025,-0.0463545024394989,-0.2963545173406601,nan,nan
875000,4,165.55950010800734,78.10171124632201,109.75,34.134842902817056,0.375,0.625,1.0,0.0,22.13139872532338,4.368801422417164,-0.0008256807923316956,-0.2508256956934929,265.6876944651206,153.0
900000,4,146.9132453771308,70.53685292505537,100.75,30.877783275358354,0.25,0.75,1.0,0.0,23.910469975322485,5.147710502147675,0.010585203766822815,-0.23941481113433838,267.93408434838057,153.0
925000,4,141.6103602516232,72.04247437995289,98.0,31.811947441173732,0.25,0.75,1.0,0.0,22.653586711734533,5.386110208928585,-0.011678248643875122,-0.2616782635450363,266.28926621191204,153.0
950000,4,119.22998305060901,57.85148194192348,87.5,24.763884994079586,0.125,0.875,1.0,0.0,21.34346639015712,6.294488191604614,-0.020158037543296814,-0.2701580971479416,272.2384562343359,153.0
975000,4,140.0261513356818,72.15985479305978,97.875,31.9078262343269,0.25,0.75,1.0,0.0,22.369884422281757,5.396845825016499,-0.015624836087226868,-0.26562488079071045,264.84511091560125,153.0
1000000,4,166.57870337017812,77.13341974970476,110.25,33.65542303997975,0.375,0.625,1.0,0.0,24.587789939483628,4.325672283768654,0.012724876403808594,-0.2372751384973526,265.2973382299145,153.0
1025000,4,167.68933784076944,73.73022289715348,112.75,32.08484844907328,0.375,0.625,1.0,0.0,22.741116014309227,4.109473563730717,-0.02373836189508438,-0.27373839169740677,261.81294258808094,153.0
1050000,4,121.28850368992426,54.3811316244778,88.75,24.41183114803148,0.125,0.875,1.0,0.0,21.647417326283175,6.186492517590523,-0.035225920379161835,-0.28522592037916183,264.5856475532055,153.0
1075000,4,101.96654335432686,4.952393385317136,80.375,2.341874249399399,0.0,1.0,1.0,0.0,23.29879747889936,6.912094295024872,-0.040303878486156464,-0.29030392318964005,nan,nan
1100000,4,100.49386318121105,4.57158572582884,80.125,2.5708704751503917,0.0,1.0,1.0,0.0,23.092413308098912,6.933501303195953,-0.042537279427051544,-0.29253729432821274,nan,nan
1125000,4,101.75243650720222,5.101360983017198,80.75,2.1065374432940898,0.0,1.0,1.0,0.0,22.64868160081096,6.878904104232788,-0.03259897977113724,-0.2825990244746208,nan,nan
1150000,4,101.60087125189602,5.027148485168708,81.0,2.8722813232690143,0.0,1.0,1.0,0.0,23.392720165196806,6.857483327388763,-0.04943479597568512,-0.2994348108768463,nan,nan
1175000,4,144.38861325010657,69.19224471448258,101.125,30.706015290167496,0.25,0.75,1.0,0.0,22.560415423242375,5.115670010447502,0.002221815288066864,-0.24777819961309433,263.34990349039435,153.0
1200000,4,127.18729752488434,54.901194697272935,93.5,24.264171117101856,0.125,0.875,1.0,0.0,20.82592567813117,5.775443479418755,-0.0019765347242355347,-0.2519765645265579,268.83082470297813,153.0
1225000,4,99.73693677783012,4.39845233021757,80.125,2.9341736485763756,0.0,1.0,1.0,0.0,21.479277424747124,6.932943165302277,-0.03481263667345047,-0.28481268137693405,nan,nan
1250000,4,100.64344536047429,3.6543314788949375,81.375,3.276335605520289,0.0,1.0,1.0,0.0,21.094058669666993,6.825431048870087,-0.05481051281094551,-0.3048105724155903,nan,nan
1275000,4,169.11126603581943,72.9870178840475,113.0,31.980462785894765,0.375,0.625,1.0,0.0,24.213688123272732,4.087485179305077,0.007068179547786713,-0.2429318204522133,262.6313195352753,153.0
1300000,4,122.1599327577278,54.885973747048446,90.125,24.76104551508276,0.125,0.875,1.0,0.0,22.085046961903572,6.067701809108257,-0.0235457643866539,-0.2735458239912987,264.4920915514231,153.0
1325000,4,98.59653225447983,3.6069143161190187,79.625,2.1758618981911515,0.0,1.0,1.0,0.0,22.186578361550346,6.97639274597168,-0.044812656939029694,-0.29481271654367447,nan,nan
1350000,4,167.01420077157672,76.17681810228504,110.375,33.54078673794042,0.375,0.625,1.0,0.0,23.134427130687982,4.3152157962322235,0.018792055547237396,-0.2312079593539238,264.7250206976508,153.0
